	dim1	dim2
1001701101_A1	-8958.129728805641	376.14926995620783
1001701101_A2	-8677.773842625073	366.74055533477014
1001701101_A3	-8956.554784614478	-52.434543524888745
1001701101_A4	-8949.210993897726	24.7698603150165
1001701101_A5	-8705.505375900835	-583.3333034809751
1001701101_A6	-8869.15504499048	44.02601753765837
1001701101_A7	-8872.432442500776	-113.03604127999648
1001701101_A8	-9168.863163658578	-99.61011894547528
1001701101_A9	-8987.773379006934	351.70335730244216
1001701101_A10	-8698.11627447561	262.578679971366
1001701101_A12	-8876.867159961228	316.1066972449842
1001701101_A13	-9092.013150907671	479.0009397085994
1001701101_A14	-8794.548455055434	519.3416435788539
1001701101_A15	-9058.318909410602	584.7104869798318
1001701101_A16	-8767.883672841332	606.5752693637222
1001701101_A17	-9029.268663203473	-210.4439246124979
1001701101_A18	-9071.933174934771	-109.71772218251634
1001701101_B1	-9027.108626465515	-57.990296836933744
1001701101_B2	-8632.041667807393	-78.84959115001912
1001701101_B4	-9216.022586271527	82.04238056486025
1001701101_B5	-9004.234398990575	50.22373542200539
1001701101_B6	-9109.845559379763	-294.1190175914792
1001701101_B10	-8897.448614954797	154.01193626327776
1001701101_B11	-9024.715991172701	259.0834357263533
1001701101_B13	-9246.673870888057	199.91976163929053
1001701101_B14	-8991.440155589877	-502.2995621379351
1001701101_B16	-8798.9098485527	143.2790771546029
1001701101_B17	-8932.419710382148	31.55561233437499
1001701101_B18	-9010.917819447965	76.09511999209819
1001701101_B19	-9161.08476781772	80.20156841119731
1001701101_B20	-9047.910795542144	304.9775080953211
1001701101_B21	-8819.45908293802	-40.17823396613622
1001701101_B22	-8869.082616422173	260.8097991762458
1001701101_B23	-8817.740945135327	-8.748837338013349
1001701101_C1	-9148.74918767754	371.2229108654284
1001701101_C2	-8500.230672927815	22.16799082616411
1001701101_C3	-8865.008351046043	-517.6084951563068
1001701101_C4	-9063.780573328215	151.54273128533828
1001701101_C5	-8999.005486087959	-247.35459915103965
1001701101_C6	-9143.720982140452	221.99014176799042
1001701101_C7	-8980.700933276481	258.45619007842396
1001701101_C8	-9056.286846331393	201.5829754042738
1001701101_C13	-9156.233512746747	272.47595402265443
1001701101_C14	-8652.905795228693	114.09240134179421
1001701101_C15	-9160.051134685522	382.33947394941697
1001701101_C16	-9121.499947417798	-87.75299705797116
1001701101_C17	-9031.41618796012	398.98641627876646
1001701101_C18	-8992.62154110255	141.4372964783781
