	dimension 1	dimension 2
1001701101_A9	3.362153	13.001518
1001701101_A10	7.0691423	-14.717772
1001701101_A12	-14.545231	4.964022
1001701101_A14	4.7197423	4.791323
1001701101_B10	2.968369	-5.2955003
1001701101_B14	-1.6333605	-15.758564
1001701101_B16	7.83218	8.169101
1001701101_C13	-1.5758772	-8.293321
1001701101_C14	7.15172	10.176489
1001701101_C15	-15.493817	-3.966822
1001701101_C16	-14.764295	-2.7321026
1001701101_C21	7.2563043	-14.587272
1001701101_D9	2.509484	-2.8495522
1001701101_D13	12.666724	7.574022
1001701101_D14	10.274054	-0.25526187
1001701101_D15	6.7414193	14.91234
1001701101_D16	9.211461	-0.37902158
1001701101_E9	1.0347428	15.644494
1001701101_E11	17.194881	2.7134144
1001701101_E13	0.394981	-13.818433
1001701101_E14	7.930743	9.689041
1001701101_F11	-15.5306425	3.0056403
1001701101_F12	1.9249314	-11.405032
1001701101_F13	-5.883905	13.080439
1001701101_F14	1.5069525	-5.121195
1001701101_F16	-1.1255454	-0.13944933
1001701101_G3	6.204378	-5.5792933
1001701101_G12	-1.1070704	15.988362
1001701101_H10	-8.456576	-2.4125667
1001701101_H13	6.07392	10.655152
1001701101_H15	3.012271	16.206608
1001701101_I12	-3.6945624	-7.8285637
1001701101_I15	-1.413271	7.1794324
1001701101_I16	17.076664	2.767547
1001701101_J9	-3.5005133	-7.309782
1001701101_J15	-5.4918833	7.525174
1001701101_K14	-15.453135	-6.0355253
1001701101_K15	4.5832176	13.394475
1001701101_L12	-1.9144711	-6.2272305
1001701101_L14	7.313946	2.828313
1001701101_M14	9.856558	6.005535
1001701101_N10	0.7031896	-7.2937083
1001701101_N13	0.44435918	-12.189618
1001701101_N16	6.1917768	12.160643
1001701101_N20	-7.4732766	-13.7903
1001701101_P6	-0.16779019	-5.298357
1001701101_P10	0.59546024	-16.133125
1001701101_P16	10.9619665	-5.053989
1001701103_K23	10.263078	-7.6160564
1001701105_D2	13.64423	11.080604
1001701105_G3	11.169068	-9.320083
1001701105_G9	6.4048615	-8.783952
1001701105_H7	1.3674158	13.872518
