	dimension 1	dimension 2
1001701101_A1	1.2655478	-10.271757
1001701101_A3	8.173529	7.110249
1001701101_A5	-1.9412614	3.535949
1001701101_A7	23.777838	1.9091142
1001701101_A8	2.4314888	-14.059842
1001701101_A18	5.5973644	7.460053
1001701101_B1	1.0302685	-11.645008
1001701101_B2	8.685152	-12.392745
1001701101_B4	13.513151	-12.965863
1001701101_B5	5.154475	-14.394506
1001701101_B6	24.698658	-12.25637
1001701101_B17	-4.470284	-11.324134
1001701101_B18	-2.269096	10.155483
1001701101_B19	1.3270682	-17.24281
1001701101_B21	-5.490188	-12.617971
1001701101_B22	-12.434166	-0.20622107
1001701101_B23	13.978433	7.813587
1001701101_C1	-3.408664	9.50065
1001701101_C2	21.3322	-4.5761886
1001701101_C3	1.7757537	-11.629062
1001701101_C4	-21.295437	-7.8115735
1001701101_C5	10.125229	0.8452365
1001701101_C7	-20.108673	-3.084727
1001701101_C8	-7.343554	-10.887627
1001701101_C17	-5.1311994	7.1456914
1001701101_C18	-13.590149	8.411737
1001701101_C19	-20.616837	3.6137533
1001701101_C20	-19.099989	4.3021455
1001701101_C22	17.252665	-14.76971
1001701101_C23	-12.010792	12.806475
1001701101_D1	-15.728436	11.763738
1001701101_D3	4.020019	-13.701963
1001701101_D4	-2.5455523	-19.637064
1001701101_D5	-19.856115	0.9050781
1001701101_D6	12.425644	15.346355
1001701101_D8	4.5490174	-0.7772463
1001701101_D18	12.528913	-3.137201
1001701101_D19	4.3347416	2.5013466
1001701101_D20	-11.198985	15.520898
1001701101_D21	-9.140823	4.307483
1001701101_D22	-2.572206	-16.870367
1001701101_D23	-10.480198	-0.3008364
1001701101_E1	18.789787	0.13090326
1001701101_E2	-21.774662	-3.9417508
1001701101_E3	-5.7482467	-9.59557
1001701101_E4	12.0073595	1.829444
1001701101_E5	8.92972	-6.555599
1001701101_E6	3.633474	7.486331
1001701101_E7	7.7688665	8.687019
1001701101_E17	-19.635386	-6.9280577
1001701101_E20	1.8985543	-12.629661
1001701101_E21	-6.7187166	9.572104
1001701101_E23	-17.097734	6.58073
1001701101_F1	6.5040326	-2.227102
1001701101_F2	-6.753468	-13.014502
1001701101_F3	-5.952694	9.9107485
1001701101_F4	-0.034298815	-14.6203575
1001701101_F5	22.030506	5.063362
1001701101_F6	19.218725	-0.22066112
1001701101_F7	-22.22846	-0.39808527
1001701101_F8	-10.608823	-7.843042
1001701101_F17	2.914728	14.60844
1001701101_F18	-13.541307	16.979736
1001701101_F19	20.682629	-9.774759
1001701101_F20	17.298286	-8.958648
1001701101_F21	2.5016885	11.015198
1001701101_F22	13.076919	-11.519676
1001701101_F23	-5.052231	3.3470323
1001701101_G1	17.216969	-13.101577
1001701101_G2	0.8978958	-17.041319
1001701101_G4	-21.888617	-8.771994
1001701101_G5	1.3002692	-17.2128
