	dimension 1	dimension 2
1001701101_A2	30.904934	-50.586636
1001701101_A4	32.6195	-49.83444
1001701101_A13	36.1089	-52.779324
1001701101_A16	30.857616	-50.30273
1001701101_B11	30.615555	-50.909863
1001701101_B13	40.047256	-46.314087
1001701101_B20	33.747997	-45.34297
1001701101_C6	32.655186	-46.460667
1001701101_E10	26.652428	-42.428783
1001701101_F10	36.11883	-51.51583
1001701101_G15	42.16721	-46.49732
1001701101_H9	33.348293	-54.682957
1001701101_I22	35.118385	-50.17615
1001701101_J22	34.873055	-48.397804
1001701101_L16	36.211376	-51.450226
1001701101_M11	33.14019	-45.979183
1001701101_M12	42.945446	-46.318787
1001701103_A12	6.1034613	-26.002676
1001701103_A15	10.627928	14.564651
1001701103_A18	-19.548727	32.048065
1001701103_A19	10.368988	8.290697
1001701103_A20	10.421489	-1.981847
1001701103_A21	18.816294	-2.7235265
1001701103_A22	1.5968181	12.262166
1001701103_A23	-15.118225	9.517623
1001701103_B12	-1.3257501	-10.272019
1001701103_B14	-6.6518016	29.646645
1001701103_B15	4.5508657	0.7110264
1001701103_B16	20.03009	-35.36655
1001701103_B20	-2.0612042	-5.600616
1001701103_B21	0.7017553	-3.9487123
1001701103_B22	6.0812654	17.798788
1001701103_C12	-6.111374	8.527156
1001701103_C13	24.349031	6.691484
1001701103_C14	13.705192	-5.0564117
1001701103_C15	21.859306	-35.14748
1001701103_C16	2.0007064	11.348362
1001701103_C18	-21.664639	-5.851709
1001701103_C19	4.9196396	20.261013
1001701103_C20	-12.710221	0.061487544
1001701103_C21	10.202859	9.780187
1001701103_C22	18.509789	3.841881
1001701103_D12	19.626564	11.299159
1001701103_D13	5.7350326	-3.5463076
1001701103_D14	7.692318	12.504639
1001701103_D15	16.41041	14.258768
1001701103_D16	-12.7797785	-2.3560863
1001701103_D18	14.069435	5.6691213
1001701103_D20	19.7201	-1.8883338
1001701103_D21	9.248109	-33.395237
1001701103_E12	1.1613073	18.614956
1001701103_E16	23.28275	-1.0691307
1001701103_E18	18.471716	3.4526286
1001701103_E20	4.737516	-3.266667
1001701103_E22	12.943072	18.481537
1001701103_E23	17.095543	-35.854004
1001701103_F13	-1.2966814	-8.767251
1001701103_F14	-1.9385848	-8.606331
1001701103_F15	17.806679	-37.5707
1001701103_F16	1.0485247	-5.2100735
1001701103_F17	-0.6722487	-2.252917
1001701103_F18	14.423082	8.259517
1001701103_F19	24.232193	1.6623176
1001701103_F20	2.8063862	-0.26319227
1001701103_F22	18.978926	7.5179605
1001701103_G13	15.379815	-0.6756468
1001701103_G14	-13.684308	-2.2127254
1001701103_G18	8.517448	4.3066907
1001701103_G19	18.166183	9.038622
1001701103_G20	7.824264	-30.235313
1001701103_G22	3.3032851	14.958257
1001701103_G23	18.108183	5.82477
1001701103_H12	0.46888632	-5.5992217
1001701103_H13	9.546075	-2.3835645
1001701103_H14	12.780859	-7.250123
1001701103_H17	-1.9801631	-7.8931413
1001701103_H18	-1.5923158	-8.1865
1001701103_H19	-8.853859	-9.634138
1001701103_H23	10.800511	-1.1699264
1001701103_I12	16.496283	7.493127
1001701103_I14	10.611763	-3.5747516
1001701103_I16	-13.315923	-1.9280133
1001701103_I17	23.165712	-44.701138
1001701103_I18	5.754659	19.426762
1001701103_I21	-0.8297087	-2.8295805
1001701103_J12	1.7439632	11.86713
1001701103_J13	20.894846	-1.9861466
1001701103_J15	12.294396	3.864818
1001701103_J17	23.900528	-39.81556
1001701103_J20	12.52349	1.3410192
1001701103_J21	-6.13068	-3.638936
1001701103_J23	0.71494853	-5.5137057
1001701103_K12	5.161301	11.865178
1001701103_K13	-2.9166021	3.4402626
1001701103_K16	5.1578975	-0.14384899
1001701103_K19	-0.6311463	-6.5110044
1001701103_K20	11.64401	15.099767
1001701103_K21	8.256674	-30.022419
1001701103_K22	11.223061	-40.649498
1001701103_L12	16.21742	5.2150965
1001701103_L14	2.004609	0.8533571
1001701103_L16	19.238146	-34.806175
1001701103_L18	6.8182464	-36.504528
1001701103_L21	12.813108	4.3267922
1001701103_L23	0.9476119	19.03297
1001701103_M12	7.3619394	0.8762972
1001701103_M13	20.966558	3.9115016
1001701103_M17	13.20612	13.043052
1001701103_M20	10.586361	-1.9279283
1001701103_M23	16.938286	-3.446463
1001701103_N14	0.24736716	-2.6584978
1001701103_N16	19.016117	-1.4088402
1001701103_N18	4.521128	9.558678
1001701103_N20	13.702988	-2.371414
1001701103_N22	11.571243	3.775417
1001701103_O14	-7.217556	5.8755097
1001701103_O15	6.3688674	10.857331
1001701103_O17	19.234772	-41.73153
1001701103_O18	10.47641	-1.9626746
1001701103_O20	18.636492	-1.0130446
1001701103_O23	18.231071	-0.3439924
1001701103_P14	18.066254	6.1179667
1001701103_P17	13.050312	-4.4064035
1001701105_B21	7.55451	-2.2943141
1001701105_C12	16.71864	7.5081315
1001701105_C13	15.474729	1.7510641
1001701105_C14	8.158842	-3.9537163
1001701105_C15	15.392068	-2.9176145
1001701105_C16	15.393237	1.7335073
1001701105_C18	6.4234996	10.342351
1001701105_C19	18.401482	-2.2837353
1001701105_C20	-7.5639133	-4.97788
1001701105_C21	7.7878423	-30.439754
1001701105_C23	29.09366	-50.328876
1001701105_D12	16.33207	16.34688
1001701105_D13	8.779459	-0.50582093
1001701105_D14	10.3777485	16.983303
1001701105_D15	-1.6462399	10.726691
1001701105_D16	-0.5231405	-2.2127345
1001701105_D17	4.3787565	14.112781
1001701105_D18	18.624552	9.156206
1001701105_D19	7.971826	15.831358
1001701105_D20	-14.763656	-16.69152
1001701105_D21	15.577097	3.26639
1001701105_D23	-12.887881	-4.7832365
1001701105_E12	20.813595	3.8726811
1001701105_E14	11.7117	14.418806
1001701105_E15	-1.9723858	25.588068
1001701105_E16	15.64531	2.5489054
1001701105_E17	16.069601	10.571642
1001701105_E18	1.871681	-2.7729568
1001701105_E19	3.6861615	12.896363
1001701105_E20	4.452738	-4.196348
1001701105_E21	11.503808	15.167002
1001701105_E22	-1.6140326	-6.7891397
1001701105_E23	4.71948	11.312474
1001701105_F12	19.998407	-2.9944234
1001701105_F13	24.16912	1.6747888
1001701105_F14	-11.037622	9.209052
1001701105_F15	-12.050031	-4.0392933
1001701105_F16	3.093218	0.9751793
1001701105_F17	10.870049	6.700138
1001701105_F18	9.816414	19.252481
1001701105_F19	0.8049479	-10.953477
1001701105_F20	3.0710845	12.768842
1001701105_F22	-3.5895247	-6.073621
1001701105_F23	11.001411	-4.5902085
1001701105_G12	-13.102172	6.077719
1001701105_G13	-0.9450817	4.524179
1001701105_G14	-7.204972	-4.9418426
1001701105_G15	8.163863	6.971862
1001701105_G16	1.046031	-10.984176
1001701105_G17	9.994228	10.137883
1001701105_G18	3.526605	6.1084657
1001701105_G19	10.7497635	-5.1692486
1001701105_G20	5.6403995	-2.1689146
1001701105_G21	-6.0990257	-5.9478803
1001701105_G22	15.498924	16.433882
1001701105_H12	3.314023	-0.7561303
1001701105_H13	18.796484	7.1005006
1001701105_H14	6.2266917	3.7212925
1001701105_H15	10.097251	3.9354384
1001701105_H16	-12.512602	6.0911365
1001701105_H17	21.38681	2.8723211
1001701105_H18	-0.14142819	8.311385
1001701105_H19	-14.207827	-17.606577
1001701105_H20	0.91944814	6.0563526
1001701105_H21	14.532481	-1.5600332
1001701105_H23	2.6260343	15.278064
1001701105_I2	-15.999612	-3.154359
1001701105_I12	-4.758595	4.061712
1001701105_I13	11.039803	4.035736
1001701105_I14	18.410223	21.011606
1001701105_I15	-1.7541817	-8.438431
1001701105_I16	17.445929	6.3278785
1001701105_I18	15.518395	5.440906
1001701105_I19	7.969192	6.5540204
1001701105_I20	-1.6892507	-21.075356
1001701105_I21	5.496034	3.0804472
1001701105_I23	18.646692	6.066547
1001701105_J12	10.608724	4.241545
1001701105_J15	-4.8781877	7.039067
1001701105_J16	4.757701	-3.093294
1001701105_J17	-3.8992608	-5.0796914
1001701105_J18	-3.5110805	-10.128416
1001701105_J20	2.0028298	7.6584063
1001701105_J21	8.3194685	6.5104237
1001701105_K2	25.873228	-40.462944
1001701105_K12	13.14208	2.177682
1001701105_K13	-7.210572	-0.25995263
1001701105_K14	1.6575252	-8.03887
1001701105_K15	1.6072654	-9.031811
1001701105_K16	15.347246	-30.45315
1001701105_K17	7.805495	0.33322895
1001701105_K18	17.642717	11.1723995
1001701105_K19	7.069274	0.33002213
1001701105_K22	15.843315	-2.7666733
1001701105_L9	6.4213185	2.8572195
1001701105_L12	6.0346675	-5.0394907
1001701105_L13	0.99813354	6.10876
1001701105_L14	-0.023578458	-2.8437345
1001701105_L15	12.556132	7.6526785
1001701105_L16	10.688998	11.540827
1001701105_L17	6.002323	6.74158
1001701105_L18	11.338526	17.15798
1001701105_L19	5.833401	-4.3395705
1001701105_L20	5.75011	10.221967
1001701105_L22	14.204502	0.42968184
1001701105_M12	18.765171	-1.4508318
1001701105_M15	-11.446687	-0.64029986
1001701105_M16	19.699846	7.7701426
1001701105_M17	6.866034	2.858048
1001701105_M18	7.9430413	17.808212
1001701105_M19	7.772779	16.151117
1001701105_M20	3.7656305	15.929286
1001701105_N12	6.523355	8.701169
1001701105_N13	15.7737465	15.914257
1001701105_N14	1.6820284	18.755634
1001701105_N15	4.1907897	3.4586003
1001701105_N16	13.011698	2.0946963
1001701105_N17	-1.1020122	-6.676823
1001701105_N18	10.974252	-2.908522
1001701105_N22	1.0322379	-6.605279
1001701105_O3	7.511256	-0.55592877
1001701105_O12	6.0037794	8.616697
1001701105_O14	-1.758971	-8.5536175
1001701105_O15	-1.1501987	-10.528577
1001701105_O17	14.808965	0.92525846
1001701105_O18	18.938805	1.0390049
1001701105_O21	18.024265	5.971532
1001701105_P13	0.53394556	11.106222
1001701105_P14	-12.069002	0.51676255
1001701105_P15	20.560482	3.5150158
1001701105_P16	16.516443	7.60897
1001701105_P18	18.078163	3.7927718
1001701105_P19	15.480712	1.6794164
1001701105_P20	1.6748847	27.743422
1001701201_A10	36.897694	-53.331684
1001701201_A11	39.97409	-46.159306
1001701201_A14	25.753265	-42.92139
1001701201_A16	-2.862008	-7.7218313
1001701201_A21	33.980083	-45.10401
1001701201_B9	30.85725	-50.77514
1001701201_B14	33.043663	-49.481655
1001701201_B22	34.964725	-45.316566
1001701201_C13	43.21443	-48.287437
1001701201_D10	36.20542	-53.23578
1001701201_D14	32.54249	-46.28952
1001701201_E9	33.234657	-45.535202
1001701201_G9	37.237488	-53.447018
1001701201_G14	32.708805	-45.504917
1001701201_H16	32.39704	-45.820446
1001701201_J13	26.917084	-43.85911
1001701201_J15	34.49325	-45.65091
1001701201_K14	32.524864	-43.426846
1001701201_L9	40.465927	-50.9287
1001701201_L14	38.389977	-52.46503
1001701201_L16	33.126274	-47.032303
1001701201_M15	32.879322	-50.018536
1001701201_N11	36.87647	-52.85312
1001701201_N12	24.276533	-40.41212
1001701201_O10	24.27384	-40.41686
1001701201_O12	36.34073	-52.589424
1001701201_O14	43.248425	-51.763355
1001701201_O17	11.052355	-7.0940933
1001701201_P12	26.689993	-42.02431
1001701201_P13	32.73631	-46.064045
1001701203_A12	3.1312418	10.029149
1001701203_A14	11.032357	-25.386238
1001701203_A15	12.221127	-5.048085
1001701203_A16	1.3998904	-33.973854
1001701203_A17	8.018524	-0.80512595
1001701203_B12	1.2602713	-5.005832
1001701203_B13	15.293631	-36.52178
1001701203_B14	16.260887	-32.881237
1001701203_B15	20.29218	7.3284264
1001701203_B17	8.886981	-1.8505237
1001701203_B19	14.84974	4.6449223
1001701203_B20	23.97903	1.6044284
1001701203_B21	-6.4421024	-5.7217836
1001701203_B22	22.03804	0.79537046
1001701203_B23	-9.78265	-10.608718
